index,Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
45,CarbonDisulfide,0,1,-38.32904761611482,-38.1318230387786,,2.964880919887962,,,,,,,3.876086059583858,4.102102756620141,,,,,,,10
46,CarbonDisulfide,0,0,-40.51686509748278,-39.911694911494685,0.8808382404832987,2.964880919887962,,,,,,,3.876086059583858,5.507519516115966,,,,,,,10
47,Primary_Aluminum,0,1,-146.3391897884568,-144.7016036287304,,2.6877544477235684,,,,,,,4.606324956021417,11.035426400489046,,,,,,,39
48,Primary_Aluminum,0,0,-85.26897797908444,-81.94185468682515,0.2627566956102881,2.6877544477235684,,,,,,,4.606324956021417,13.830001611692666,,,,,,,39
49,Primary_Aluminum,1,0,-121.69418451395558,-115.039937929437,0.932939382115668,2.6877544477235684,3.674822968468042,,,,,,4.606324956021417,25.694222198316897,-0.5181153137478356,,,,,,39
50,Primary_Aluminum,2,0,-140.24928524820334,-130.26791537142546,0.9871532870467634,2.6877544477235684,3.7557645577743135,4.16196123240237,,,,,4.606324956021417,26.625813638157013,-24.52189524431088,19.021511952958768,,,,,39
51,Primary_Aluminum,4,0,-152.68770224079233,-136.05208577949588,-0.4591244977892632,2.6877544477235684,2.974971216870886,3.3184428905597594,3.7576290463474726,4.16196123240237,,,4.606324956021417,-4.191643042808302,38.79166482126743,22.762754961829444,-24.52189524431074,19.021511952958797,,,39
52,Acrylonitrile,0,1,-43.56707989240714,-43.00213053494561,,2.530383855701768,,,,,,,3.9451752033255616,21.023866367688196,,,,,,,14
53,Acrylonitrile,0,0,-48.78840627234948,-47.51029161311896,2.1915202780766547,2.530383855701768,,,,,,,3.9451752033255616,19.444070660296685,,,,,,,14
54,Acrylonitrile,1,0,-45.19733021502879,-42.64110089656775,2.121552870167231,2.530383855701768,3.410144795565048,,,,,,3.9451752033255616,18.10700373241412,21.5013471713706,,,,,,14
55,Photovoltaics_4,0,1,-102.07445329508904,-100.7786164290847,,0.3209608969751543,,,,,,,3.240562707188149,28.3205755386874,,,,,,,28
56,Photovoltaics_4,0,0,-64.818515276473,-62.15410625612259,1.825241002393582,0.3209608969751543,,,,,,,3.240562707188149,25.05771483494067,,,,,,,28
57,Photovoltaics_4,1,0,-119.84802264815966,-114.51920460745885,2.2017790825228856,0.3209608969751543,0.8958757089700466,,,,,,3.240562707188149,48.706872734663634,21.28166024197453,,,,,,28
