,Scenario,Learning rate assumptions,Net Present Cost [trillion USD]
105,no transition,Technology-specific - Way et al. (2022),209.394012282863
106,no transition,Technology-specific - Way et al. (2022),166.11034516411587
107,no transition,Technology-specific - Way et al. (2022),176.77600654854442
108,no transition,Technology-specific - Way et al. (2022),161.7318373238589
109,no transition,Technology-specific - Way et al. (2022),175.22011788014572
110,no transition,Technology-specific - Way et al. (2022),173.48989999170337
111,no transition,Technology-specific - Way et al. (2022),195.30733062957475
112,no transition,Technology-specific - Way et al. (2022),184.856932845363
113,no transition,Technology-specific - Way et al. (2022),210.78383565087378
114,no transition,Technology-specific - Way et al. (2022),218.25301343704706
115,no transition,Technology-specific - Way et al. (2022),172.2512132959625
116,no transition,Technology-specific - Way et al. (2022),189.1447380579083
117,no transition,Technology-specific - Way et al. (2022),178.21889900778447
118,no transition,Technology-specific - Way et al. (2022),168.54459673198787
119,no transition,Technology-specific - Way et al. (2022),142.74836855022804
120,no transition,Technology-specific - Way et al. (2022),156.48757665449065
121,no transition,Technology-specific - Way et al. (2022),183.713484368715
122,no transition,Technology-specific - Way et al. (2022),201.15199817735896
123,no transition,Technology-specific - Way et al. (2022),165.81648573805103
124,no transition,Technology-specific - Way et al. (2022),182.02004341377557
125,no transition,Technology-specific - Way et al. (2022),156.12412867350275
126,no transition,Technology-specific - Way et al. (2022),175.07143420662888
127,no transition,Technology-specific - Way et al. (2022),177.5916904714811
128,no transition,Technology-specific - Way et al. (2022),168.23435382569193
129,no transition,Technology-specific - Way et al. (2022),175.52145249997562
130,no transition,Technology-specific - Way et al. (2022),169.5503092783206
131,no transition,Technology-specific - Way et al. (2022),186.25241488332122
132,no transition,Technology-specific - Way et al. (2022),170.90454521555253
133,no transition,Technology-specific - Way et al. (2022),176.10040157449131
134,no transition,Technology-specific - Way et al. (2022),199.24388626642175
135,no transition,Technology-specific - Way et al. (2022),213.944850992112
136,no transition,Technology-specific - Way et al. (2022),180.1143608137166
137,no transition,Technology-specific - Way et al. (2022),179.97846168185956
138,no transition,Technology-specific - Way et al. (2022),160.76087524759538
139,no transition,Technology-specific - Way et al. (2022),170.29158096325932
140,no transition,Technology-specific - Way et al. (2022),191.83837167360426
141,no transition,Technology-specific - Way et al. (2022),197.4502132106475
142,no transition,Technology-specific - Way et al. (2022),205.29663156133438
143,no transition,Technology-specific - Way et al. (2022),189.80057164949667
144,no transition,Technology-specific - Way et al. (2022),178.61170690901938
145,no transition,Technology-specific - Way et al. (2022),179.43146299276373
146,no transition,Technology-specific - Way et al. (2022),158.97164878099665
147,no transition,Technology-specific - Way et al. (2022),185.19316570573963
148,no transition,Technology-specific - Way et al. (2022),200.95166988194975
149,no transition,Technology-specific - Way et al. (2022),176.8945222086131
150,no transition,Technology-specific - Way et al. (2022),189.56160198557367
151,no transition,Technology-specific - Way et al. (2022),182.08029773560688
152,no transition,Technology-specific - Way et al. (2022),168.00988665342732
153,no transition,Technology-specific - Way et al. (2022),177.71695958924568
154,no transition,Technology-specific - Way et al. (2022),182.88603596241805
155,no transition,Technology-specific - Way et al. (2022),178.91843704128962
156,no transition,Technology-specific - Way et al. (2022),177.3408567726317
157,no transition,Technology-specific - Way et al. (2022),148.7170776633128
158,no transition,Technology-specific - Way et al. (2022),188.5865077875046
159,no transition,Technology-specific - Way et al. (2022),197.24630867812309
160,no transition,Technology-specific - Way et al. (2022),172.25514206288338
161,no transition,Technology-specific - Way et al. (2022),175.67378051314108
162,no transition,Technology-specific - Way et al. (2022),175.08305396349746
163,no transition,Technology-specific - Way et al. (2022),178.1673212677534
164,no transition,Technology-specific - Way et al. (2022),183.00556236324957
