Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Wind_Turbine_2_(Germany),0,1,-38.79574385498776,-38.31083720519976,,0.6130071420551685,,,,,,,3.378716165494427,2.054491456831764,,,,,,,13
Wind_Turbine_2_(Germany),0,0,-40.384401809038984,-39.25450309411591,3.5084609364681,0.6130071420551685,,,,,,,3.378716165494427,4.901616268960796,,,,,,,13
Wind_Turbine_2_(Germany),1,0,-39.42316969618275,-37.1633722663366,3.3990024978770204,0.6130071420551685,1.3193930469020563,,,,,,3.378716165494427,-2.218704193630905,6.283137402558103,,,,,,13
Wind_Turbine_2_(Germany),2,0,-54.2902988410066,-50.900602696237385,3.3990024978770212,0.6130071420551685,1.7233542036651637,2.6226800179704384,,,,,3.378716165494427,-2.218704193630816,15.478209251886167,-6.664046907132448,,,,,13
Wind_Turbine_2_(Germany),3,0,-53.12932213304134,-48.60972727334905,3.390455933337099,0.6130071420551685,1.7673258532655276,1.969392511011114,2.7133638782117404,,,,3.378716165494427,-2.9187387341135684,24.647688402147907,11.333498984942224,-5.440257609336374,,,,13
Wind_Turbine_2_(Germany),4,0,-46.81259476341262,-41.163101188797256,2.8604960820019287,0.6130071420551685,0.6383501811619021,1.7761943728453242,2.149297013959951,2.3491073878295476,,,3.378716165494427,-85.37994082212168,-1.9220189418597045,24.64768840214786,12.635687495254599,-1.2911638771337497,,,13
Wind_Turbine_2_(Germany),5,0,-44.67398186727627,-37.894589577737825,3.399002497877023,0.6130071420551685,1.7585128028813084,1.8172784893481209,1.9637126383838448,1.975088231014097,2.7133638782117573,,3.378716165494427,-2.2187041936307716,12.437207063818045,24.647688402147704,18.251970009307627,11.333498984942214,-5.440257609337018,,13
Caprolactam,0,1,-37.441866827081796,-37.13928173408775,,2.2835744806987583,,,,,,,3.566969967972124,19.0331791306934,,,,,,,11
Caprolactam,0,0,-37.9841159938929,-37.188325448296155,2.610308458148298,2.2835744806987583,,,,,,,3.566969967972124,24.61989806049121,,,,,,,11
Caprolactam,1,0,-42.248715292612246,-40.657134201418764,1.938095492044715,2.2835744806987583,2.674458150264448,,,,,,3.566969967972124,9.214781981282915,28.453388401865297,,,,,,11
Caprolactam,2,0,-75.0086580796753,-72.62128644288508,2.0220800206368805,2.2835744806987583,2.8774107081263387,3.174062173292599,,,,,3.566969967972124,11.42579948049165,43.495132441327286,17.45151228151243,,,,,11
