Tech,Normalized cumulative production,Normalized unit cost
Wind_Turbine_2_(Germany),1.0,1.0
Wind_Turbine_2_(Germany),3.5200000000000005,1.1329933307179285
Wind_Turbine_2_(Germany),8.559999999999999,0.9972538250294233
Wind_Turbine_2_(Germany),26.160000000000004,1.1196547665751275
Wind_Turbine_2_(Germany),42.32,1.156924284032954
Wind_Turbine_2_(Germany),65.6,0.9807767752059631
Wind_Turbine_2_(Germany),101.52000000000001,0.8246371125931738
Wind_Turbine_2_(Germany),222.32,0.7795213809336995
Wind_Turbine_2_(Germany),461.6,0.687328364064339
Wind_Turbine_2_(Germany),679.2,0.719890153001177
Wind_Turbine_2_(Germany),906.0799999999999,0.7551981169085916
Wind_Turbine_2_(Germany),1284.08,0.7681443703413103
Wind_Turbine_2_(Germany),1911.1200000000001,0.783052177324441
Caprolactam,1.0,1.0
Caprolactam,1.468,0.9175984862291745
Caprolactam,2.004,0.8311629384737872
Caprolactam,2.706,0.7640169969831212
Caprolactam,3.5345714285714283,0.5878693583423
Caprolactam,4.446,0.47717110625045156
Caprolactam,5.384857142857143,0.4384636179020272
Caprolactam,6.527714285714286,0.4023353079904491
Caprolactam,7.899142857142857,0.39061116584951167
Caprolactam,9.350571428571428,0.36267205020181975
Caprolactam,10.992571428571429,0.3553673935280954
Fotovoltaica,1.0,1.0
Fotovoltaica,5.0,0.816542014958205
Fotovoltaica,20.153699999999997,0.6207655081390233
Fotovoltaica,65.86014999999999,0.5459744830620326
Fotovoltaica,129.994,0.5239771227452705
Fotovoltaica,239.719,0.4720633523977123
Fotovoltaica,402.977,0.3990321161460625
Fotovoltaica,623.2204999999999,0.33128024637043557
Fotovoltaica,861.4884999999999,0.2608886933567972
Fotovoltaica,1165.744,0.1935767707875055
Fotovoltaica,1583.81,0.16234051913770348
Fotovoltaica,1927.1899999999998,0.13594368675758908
Fotovoltaica,2680.155,0.11042674879014518
Fotovoltaica,3298.105,0.09282886053673559
Fotovoltaica,4060.49,0.08051033875934888
Fotovoltaica,4561.035,0.07171139463264409
Fotovoltaica,4947.254999999999,0.050593928728552576
Fotovoltaica,5854.735,0.035094588649362074
Fotovoltaica,8258.865,0.027633084029916412
Fotovoltaica,10800.0,0.020400351957765066
Fotovoltaica,21600.0,0.014364276286845577
Fotovoltaica,35099.99999999999,0.011830180378354599
Fotovoltaica,52350.0,0.010013198416190057
Fotovoltaica,79650.0,0.007857457105147382
Fotovoltaica,128800.0,0.006911570611526617
Fotovoltaica,194050.0,0.005622525296964364
Fotovoltaica,292550.0,0.005103387593488782
Fotovoltaica,467049.99999999994,0.004377474703035635
Fotovoltaica,664550.0,0.0035987681478222614
Fotovoltaica,891550.0,0.0029696436427628686
Fotovoltaica,1136550.0,0.00291684997800264
Fotovoltaica,1405999.9999999998,0.0029916410030796305
Fotovoltaica,1733499.9999999998,0.003070831500219974
Fotovoltaica,2123000.0,0.0028816542014958204
Fotovoltaica,2571499.9999999995,0.0025868895732512097
Fotovoltaica,3090500.0,0.002432908051033876
Fotovoltaica,3658999.9999999995,0.002270127584689837
Fotovoltaica,4237500.0,0.0021381434227892653
Fotovoltaica,4892500.0,0.0020721513418389794
Fotovoltaica,5650000.0,0.002094148702155741
Fotovoltaica,6507999.999999999,0.0019137703475582929
Fotovoltaica,7710000.0,0.0017289925208974924
Fotovoltaica,9145000.0,0.0017245930488341398
Fotovoltaica,11030000.0,0.00161460624725033
Fotovoltaica,13730000.0,0.0015002199736031676
