Tech,n_breaks,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Wind_Turbine_2_(Germany),0,-36.79574385498776,-35.82593055541176,,0.6130071420551685,,,,,,,3.378716165494427,2.054491456831764,,,,,,,13
Wind_Turbine_2_(Germany),1,-34.81472107362467,-32.87509447447267,3.39900249787702,0.6130071420551685,1.3193930469020658,,,,,,3.378716165494427,-2.218704193630816,6.283137402558192,,,,,,13
Wind_Turbine_2_(Germany),2,-48.230532591923605,-45.3210926931956,3.399002497877018,0.6130071420551685,1.723354203665157,2.6226800179704415,,,,,3.378716165494427,-2.2187041936308383,15.478209251886144,-6.664046907132137,,,,,13
Wind_Turbine_2_(Germany),3,-40.10409583871794,-36.22484264041394,3.390455933337099,0.6130071420551685,1.5210845325313078,2.7333241133023236,3.069731457638645,,,,3.378716165494427,-2.9187387341135684,11.576063490625167,-10.117420376475073,-3.4124088659085006,,,,13
Caprolactam,0,-35.441866827081796,-34.8366966410937,,2.2835744806987583,,,,,,,3.566969967972124,19.0331791306934,,,,,,,11
Fotovoltaica,0,-154.6279363943568,-150.84429579813553,,-2.636811563395229,,,,,,,3.780605464740647,23.48791519071084,,,,,,,50
Fotovoltaica,1,-63.6924182922246,-56.125137099782094,1.905950282319938,-2.636811563395229,1.5258212108939562,,,,,,3.780605464740647,35.00123920880205,14.449925884952663,,,,,,50
Fotovoltaica,2,-126.26925837922741,-114.91833659056365,2.56374816600403,-2.636811563395229,-1.1070473997380932,0.4390189493125465,,,,,3.780605464740647,17.393362448502316,49.20351256615895,18.18028600194096,,,,,50
Fotovoltaica,3,-153.86590702706295,-138.73134464217793,2.5123523096900837,-2.636811563395229,-1.0045494531659653,0.2462484308771186,3.12000504740716,,,,3.780605464740647,18.694552961825085,51.879079311635714,20.921506642528897,-4.860085277785853,,,,50
Fotovoltaica,4,-173.23466895043478,-154.31646596932853,2.5844576355252937,-2.636811563395229,-1.2544445117961138,-0.43789283244769234,0.09794346234791641,3.1200050474071572,,,3.780605464740647,16.875441564240646,41.385023579891126,61.95573931583439,20.921506642529984,-4.8600852777844095,,,50
Fotovoltaica,5,-185.1487440934685,-162.446900516141,2.584457635525295,-2.636811563395229,-1.2544445117961096,-0.40769927817782187,-0.04260822649650721,1.3686892740985712,3.2156364530267085,,3.780605464740647,16.875441564240624,41.38502357989109,66.55649899207432,26.31720705475512,18.68380387336194,-6.607547719735485,,50
Fotovoltaica,6,-183.14605391923817,-156.6605697456894,2.5844576355252897,-2.636811563395229,-1.2544445117961096,-0.40769927817782303,-0.05168582641240524,0.8180443016348135,1.8917132363806077,3.2397047087658923,3.780605464740647,16.87544156424069,41.385023579891,66.55649899207422,27.577570299494848,22.76600015178247,17.751164440896105,-6.6075477197357735,50
Crude_Oil,0,-90.4939605254027,-88.40491564995585,,2.0019857758304167,,,,,,,2.1835496633683675,11.548819638961538,,,,,,,22
Photovoltaics_2,0,-101.56382338083355,-98.6323515752341,,5.880298346279688,,,,,,,9.506588193036043,20.771698644781246,,,,,,,33
Photovoltaics_2,1,-60.95081000189879,-55.08786639069988,3.974917654432319,5.880298346279688,9.08178321995277,,,,,,9.506588193036043,28.830828567710686,-3.9549820079616937,,,,,,33
Photovoltaics_2,2,-102.72002289331041,-93.92560747651206,1.9148078689444452,5.880298346279688,7.118036252362856,8.739873864485409,,,,,9.506588193036043,11.538642135701128,36.523156006128666,7.330531369657711,,,,,33
Photovoltaics_2,3,-111.36255090992148,-99.63666368752367,1.9295139085669413,5.880298346279688,7.176713718592761,8.359895788412349,9.07217834359434,,,,9.506588193036043,11.683174025029286,38.46696870331476,25.82296230913763,-6.889182043781106,,,,33
Onshore_Gas_Pipeline,0,-29.071096981389843,-28.101283681813843,,1.5190270600153564,,,,,,,1.776613401326307,19.34588120239703,,,,,,,13
Titanium_Sponge,0,-56.32617057261959,-54.65974388450716,,2.8240889861252847,,,,,,,5.135479132337903,15.681489735026233,,,,,,,18
Titanium_Sponge,1,-63.082004783339414,-59.74915140711455,0.829725356844136,2.8240889861252847,3.860760597726076,,,,,,5.135479132337903,1.5768114925514776,33.7422188062875,,,,,,18
Titanium_Sponge,2,-65.90659566926392,-60.90731560492662,0.8297253568441327,2.8240889861252847,3.90098735394948,4.940324125645063,,,,,5.135479132337903,1.5768114925513887,35.575958896272,15.607168608038592,,,,,18
Wind_Electricity,0,-76.16672188671727,-74.07767701127042,,3.7278706520395737,,,,,,,7.916108381440494,3.7847048246766546,,,,,,,22
Wind_Electricity,1,-64.42689858203981,-60.24880883114612,1.8387370764111288,3.7278706520395737,6.754317626554849,,,,,,7.916108381440494,7.389452299697319,23.38557983111681,,,,,,22
Wind_Electricity,2,-64.85932763143397,-58.592193005093435,1.846039218052085,3.7278706520395737,6.918547648986355,7.499235115966066,,,,,7.916108381440494,7.498866472973553,30.0753667282344,12.906114801266888,,,,,22
Milk_(US),0,-457.9651091428741,-453.2774982991667,,5.81109776828194,,,,,,,7.028241597187251,15.40315640352472,,,,,,,78
Milk_(US),1,-473.4473124122677,-464.07209072485296,3.3003411301278303,5.81109776828194,6.4634486961439315,,,,,,7.028241597187251,10.258338197443418,52.47618061289116,,,,,,78
HydrofluoricAcid,0,-49.333373976284406,-48.72820379029631,,2.3850895644788612,,,,,,,3.454724621297743,2.6757850759737023,,,,,,,11
HydrofluoricAcid,1,-51.94242294342742,-50.73208257145123,1.3103662950561268,2.3850895644788612,3.0201517780141853,,,,,,3.454724621297743,4.142890036465962,-3.8811642768965315,,,,,,11
Transistor,0,-62.83482584502566,-59.667787968113444,,0.5431479942360623,,,,,,,9.755438023037494,44.56605223001632,,,,,,,37
Transistor,1,-53.46396302172636,-47.12988726790192,1.0973441420307215,0.5431479942360623,2.6097329873074995,,,,,,9.755438023037494,49.32345898192438,41.954145789973396,,,,,,37
Transistor,2,-75.78737656761729,-66.28626293688063,1.0555174324904864,0.5431479942360623,3.5108806040392695,7.863581592515066,,,,,9.755438023037494,48.216602494277694,39.66023599316275,48.62929068111317,,,,,37
Transistor,3,-80.42767018001837,-67.7595186723695,1.1141830721715842,0.5431479942360623,2.7328233349770845,7.100795064640795,7.591556985614778,,,,9.755438023037494,49.860158907033025,41.32058043072778,23.560715620508343,49.35432675779493,,,,37
Transistor,4,-76.9140741903766,-61.0788848058155,1.0436412699194126,0.5431479942360623,3.6027926892248487,6.269015271083156,7.010063900283651,7.579000157570052,,,9.755438023037494,47.91040517587266,39.704133683361384,46.03035569253636,20.964606765493055,49.35432675779472,,,37
Transistor,5,-74.24197097839158,-55.239743716918255,1.1355606541873564,0.5431479942360623,1.4236508678238193,3.7510144211408494,6.327607276195064,6.7730192982521755,7.631989665703901,,9.755438023037494,51.06283658808154,46.92819455025506,39.44645741036813,52.25550668787107,27.448914947832982,49.354326757794894,,37
CarbonDisulfide,0,-36.32904761611482,-35.934598461442384,,2.964880919887962,,,,,,,3.876086059583858,4.102102756620141,,,,,,,10
