,Training horizon,Forecast horizon,Paired t-test,Wilcoxon signed-ranks test
0,0.5,0.5,0.1429717220376469,0.11881826305125287
1,0.5,1.0,0.0961789585567141,0.08793856762349606
2,0.5,2.0,0.19305160796117232,0.2841644287109375
3,1.0,0.5,0.3259442788975174,0.19762490689754486
4,1.0,1.0,0.7987870623179825,0.6476554870605469
5,1.0,2.0,0.42214142541931543,0.3828125
6,2.0,0.5,0.8340976297465706,0.7982521057128906
7,2.0,1.0,0.6607606478942993,0.786865234375
8,2.0,2.0,0.44675885060084103,0.4375
