Aggregation,Mean slope,Standard error of mean slope,Standard deviation of errors
All techs,-0.3705428269702913,0.029693578571233278,0.08110925976138468
Energy sector,-0.14238865714823598,0.0671722359956599,0.11653091876356916
Energy sector without nuclear,-0.20723732127051697,0.03582287115618878,0.12108559358411132
